shape,price,carat,color,clarity,type,cut
Oval,390,0.38,E,VS1,lab,1
Round,18520,1.1,D,IF,natural,0
Round,1220,0.6,I,SI2,natural,0
Round,2530,0.7,F,SI1,natural,0
Round,2350,1.06,D,VS2,lab,0
Emerald,2220,0.7,F,VS1,natural,1
Round,370,0.33,D,SI1,lab,0
Round,1550,0.42,E,VVS1,natural,0
Oval,710,0.3,E,VS2,natural,0
Round,1630,0.5,D,VS2,natural,1
Round,10890,1.25,G,IF,natural,0
Round,5850,2.0,H,VS2,lab,0
Pear,1030,0.82,G,SI1,lab,0
Oval,3350,0.83,E,VS2,natural,0
Round,5410,1.0,D,SI2,natural,0
Pear,2630,1.19,G,VVS1,lab,0
Princess,14560,2.0,E,SI1,natural,0
Round,3060,0.7,G,SI1,natural,0
Oval,1930,0.56,E,VVS1,natural,1
Round,1700,1.19,J,VVS2,lab,0
Oval,450,0.41,E,VVS1,lab,0
Round,3700,1.52,G,VS2,lab,1
Round,4570,1.51,F,VS1,lab,0
Round,7250,1.14,G,VS2,natural,0
Princess,3210,2.01,J,VS2,lab,0
Round,920,0.34,F,VS1,natural,0
Princess,17020,2.01,F,SI1,natural,0
Round,1470,0.54,I,VVS2,natural,0
Round,3870,0.84,F,VS2,natural,0
Round,1010,0.36,F,VS1,natural,0
Round,800,0.3,E,VS2,natural,1
Pear,660,0.51,E,VS1,lab,1
Round,1380,0.4,G,VVS1,natural,0
Round,5740,1.26,J,VS2,natural,0
Round,2050,1.21,F,SI1,lab,0
Round,1580,0.41,D,VVS1,natural,0
Round,12570,2.01,J,VS2,natural,0
Round,460,0.31,I,VS2,natural,0
Round,7840,1.04,F,VS2,natural,0
Round,600,0.32,E,SI1,natural,0
Round,340,0.3,D,SI1,lab,0
Round,2840,1.22,E,VS1,lab,0
Marquise,500,0.52,I,VS2,lab,0
Round,2500,0.92,H,SI1,lab,0
Pear,350,0.34,E,VS1,lab,1
Oval,800,0.58,D,VS2,lab,0
Round,4270,0.8,D,VS1,natural,0
Round,8220,2.05,F,VS1,lab,0
Round,1020,0.4,H,VVS1,natural,0
Pear,1310,0.81,F,VS1,lab,0
Round,1690,1.1,I,VS2,lab,0
Round,880,0.51,E,VS2,lab,0
Round,1790,0.5,I,IF,natural,0
Round,4350,1.51,E,VS2,lab,1
Oval,1210,0.73,E,VS1,lab,1
Oval,2220,1.05,E,VS2,lab,1
Emerald,11150,2.02,F,SI2,natural,0
Oval,3050,1.58,I,VS2,lab,0
Princess,590,0.3,E,VS2,natural,1
Oval,7010,1.2,F,SI1,natural,0
Princess,550,0.32,E,SI1,natural,0
Round,1080,0.4,H,VVS2,natural,0
Round,990,0.44,E,SI2,natural,0
Cushion,5820,1.7,H,SI2,natural,0
Princess,7500,3.06,J,SI2,lab,0
Round,1270,0.53,I,SI2,natural,0
Oval,360,0.33,D,VVS2,lab,1
Round,940,0.33,D,VVS1,natural,0
Round,700,0.3,E,SI1,natural,0
Emerald,5220,1.01,D,VS1,natural,0
Round,950,0.3,F,VS1,natural,0
Round,5830,1.0,E,SI1,natural,0
Round,27600,3.0,D,VVS2,lab,0
Round,380,0.33,D,VS2,lab,0
Oval,14080,1.9,G,SI2,natural,0
Round,620,0.3,E,SI1,natural,0
Oval,1840,0.65,I,VVS1,natural,0
